Aston Martin Frequency,Aston-Martin,Audi Frequency,Audi,BMW Frequency,BMW,Bentley Frequency,Bentley,Bugatti Frequency,Bugatti,Cadillac,Cadillac Frequency,Cadillac,Chevrolet Frequency,Chevrolet,Ferrari Frequency,Ferrari,Hummer Frequency,Hummer,Jaguar Frequency,Jaguar,Jeep Frequency,Jeep,Lamborghini Frequency,Lamborghini,Lexus Frequency,Lexus,Maserati Frequency,Maserati,Mercedes Benz Frequency,Mercedes-Benz,Porsche Frequency,Porsche,Rolls Royce Frequency,Rolls-Royce,Year
1,,9,,8,,2,,1,,34,35,,18,,2,,1,,6,,43,,2,,23,,1,,26,,2,,1,,1993
1,0,10,11.111111,7,-12.5,3,50,1,0,53,54,54.28571429,41,127.7777778,2,0,2,100,6,0,38,-11.62790698,1,-50,24,4.347826087,2,100,42,61.53846154,4,100,4,300,1994
2,100,9,-10,11,57.14285714,2,-33.33333333,1,0,46,47,-12.96296296,47,14.63414634,2,0,4,100,6,0,38,0,2,100,52,116.6666667,2,0,49,16.66666667,4,0,1,-75,1995
1,-50,3,-66.66666667,21,90.90909091,15,150,2,100,53,54,14.89361702,36,-23.40425532,2,0,5,25,8,33.33333333,32,-15.78947368,2,0,69,32.69230769,3,50,89,81.63265306,3,-25,3,200,1996
1,0,8,166.6666667,26,23.80952381,17,13.33333333,1,-50,43,44,-18.51851852,49,36.11111111,3,50,21,320,9,12.5,34,6.25,1,-50,96,39.13043478,3,0,133,49.43820225,8,166.6666667,8,166.6666667,1997
1,0,4,-50,25,-3.846153846,21,23.52941176,1,0,106,107,143.1818182,81,65.30612245,10,233.3333333,38,80.95238095,25,177.7777778,46,35.29411765,5,400,140,45.83333333,2,-33.33333333,197,48.12030075,13,62.5,5,-37.5,1998
1,0,5,25,25,0,33,25.5689,1,0,85,86,-19.62616822,68,-16.04938272,7,-30,34,-10.52631579,35,40,56,21.73913043,8,60,109,-22.14285714,2,0,179,-9.137055838,14,7.692307692,6,20,1999
2,100,4,-20,27,8,31,-3.126,1,0,132,133,54.65116279,80,17.64705882,18,157.1428571,40,17.64705882,60,71.42857143,48,-14.28571429,7,-12.5,75,-31.19266055,2,0,190,6.145251397,17,21.42857143,12,100,2000
2,0,1,-75,27,0,57,-25,1,0,150,151,13.53383459,78,-2.5,11,-38.88888889,24,-40,43,-28.33333333,37,-22.91666667,6,-14.28571429,74,-1.333333333,2,0,190,0,23,35.29411765,6,-50,2001
5,150,3,200,27,0,47,-22,1,-50,163,164,8.609271523,80,2.564102564,11,0,27,12.5,53,23.25581395,30,-18.91891892,12,100,68,-8.108108108,3,50,189,-0.526315789,29,26.08695652,8,33.33333333,2002
2,-60,6,100,28,3.703703704,70,34.198,2,100,144,145,-11.58536585,84,5,23,54.54545455,35,29.62962963,45,-15.09433962,47,56.66666667,21,75,73,7.352941176,1,-66.66666667,184,-2.645502646,30,3.448275862,7,-12.5,2003
5,150,7,16.66666667,10,-64.28571429,57,0,2,0,149,150,3.448275862,85,1.19047619,17,30.76923077,38,8.571428571,33,-26.66666667,38,-19.14893617,9,-57.14285714,39,-46.57534247,4,100,138,-25,20,-33.33333333,5,-28.57142857,2004
3,-40,5,-28.57142857,24,140,57,0,1,0,184,185,23.33333333,137,61.17647059,22,29.41176471,33,-13.15789474,37,12.12121212,32,-15.78947368,18,100,48,23.07692308,5,25,146,5.797101449,45,125,7,40,2005
13,333.3333333,9,80,28,16.66666667,101,47.342,5,120,180,181,-2.162162162,176,28.46715328,37,68.18181818,41,24.24242424,54,45.94594595,31,-3.125,36,100,51,6.25,14,100,178,21.91780822,44,-2.222222222,10,42.85714286,2006
10,-23.07692308,6,-33.33333333,31,10.71428571,119,20.2247191,4,-20,168,169,-6.629834254,135,-23.29545455,27,-27.02702703,36,-12.19512195,37,-31.48148148,25,-19.35483871,50,38.88888889,34,-33.33333333,16,14.28571429,152,-14.60674157,37,-15.90909091,7,-30,2007
16,60,11,83.33333333,28,-9.677419355,60,-15.49295775,8,100,108,109,-35.50295858,125,-7.407407407,31,14.81481481,19,-47.22222222,21,-43.24324324,16,-36,50,0,26,-23.52941176,12,-25,133,-12.5,53,43.24324324,5,-28.57142857,2008
20,25,14,27.27272727,31,10.71428571,62,3.333333333,13,62.5,107,108,-0.917431193,119,-4.8,31,0,28,47.36842105,25,19.04761905,30,87.5,53,6,38,46.15384615,20,66.66666667,160,20.30075188,62,16.98113208,9,80,2009
27,35,13,-7.142857143,61,96.77419355,92,48.38709677,19,46.15384615,126,127,17.59259259,146,22.68907563,52,67.74193548,28,0,37,48,26,-13.33333333,83,56.60377358,45,18.42105263,22,10,153,-4.375,67,8.064516129,15,66.66666667,2010
46,70.37037037,21,61.53846154,73,19.67213115,83,-9.782608696,27,42.10526316,117,118,-7.086614173,179,22.60273973,70,34.61538462,17,-39.28571429,31,-16.21621622,36,38.46153846,88,6.024096386,51,13.33333333,54,120,241,57.51633987,102,52.23880597,25,66.66666667,2011
25,-45.65217391,35,66.66666667,57,-21.91780822,119,43.37349398,37,37.03703704,128,129,9.322033898,185,3.351955307,91,30,29,70.58823529,49,58.06451613,47,30.55555556,100,13.63636364,41,-19.60784314,43,-20.37037037,265,9.958506224,159,55.88235294,32,28,2012
42,68,49,40,77,35.0877193,155,30.25210084,64,72.97297297,145,146,13.17829457,189,2.162162162,95,4.395604396,19,-34.48275862,68,38.7755102,44,-6.382978723,94,-6,42,2.43902439,48,11.62790698,280,5.660377358,143,-10.06289308,44,37.5,2013
37,-11.9047619,54,10.20408163,75,-2.597402597,155,0,47,-26.5625,113,114,-21.91780822,157,-16.93121693,100,5.692,22,15.78947368,35,-48.52941176,46,4.545454545,99,5.319148936,44,4.761904762,47,-2.083333333,263,-6.071428571,107,-25.17482517,37,-15.90909091,2014
