Year,Number,Millions,Value
1994,614.7,614700000,7.27748691
1995,616.4,616400000,0.27655767
1996,616.6,616600000,0.032446463
1997,651.8,651800000,5.708725268
1998,711,711000000,9.082540657
1999,754.8,754800000,6.160337553
2000,785,785000000,4.001059883
2001,763,763000000,-2.802547771
2002,681,681000000,-10.74705111
2003,687,687000000,0.881057269
2004,667,667000000,-2.911208151
2005,618.9,618900000,-7.211394303
2006,542.4,542400000,-12.36063984
2007,500.5,500500000,-7.724926254
2008,428.4,428400000,-14.40559441
2009,373.9,373900000,-12.72175537
2010,326.15,326150000,-12.77079433
2011,330.57,330570000,1.35520466
2012,315.96,315960000,-4.419638806
2013,289.41,289410000,-8.4029624
2014,257.02,257020000,-11.19173491
2015,241.39,241390000,-6.081238814
2016,200.54,200540000,-16.92282199
