Year,Value,Growth
1988,2.39,
1989,2.02,-15.48117155
1990,2.2,8.910891089
1991,2.25,2.272727273
1992,2.19,-2.666666667
1993,2.28,4.109589041
1994,2.3,0.877192982
1995,2.32,0.869565217
1996,2.36,1.724137931
1997,2.42,2.542372881
1998,2.56,5.785123967
1999,2.43,-5.078125
2000,2.51,3.29218107
2001,2.54,1.195219124
2002,2.49,-1.968503937
2003,2.71,8.835341365
2004,2.9,7.011070111
2005,3.06,5.517241379
2006,3.1,1.307189542
2007,3.22,3.870967742
2008,3.57,10.86956522
2009,3.57,0
2010,3.72,4.201680672
2011,4.07,9.408602151
2012,4.2,3.194103194
2013,4.56,8.571428571
2014,4.62,1.315789474
2015,4.79,3.67965368
