Year,Value,Growth
1995,10299988646,
1996,11043393938,7.217535063
1997,11677377256,5.740837659
1998,12164556183,4.171989277
1999,12182767646,0.149709227
2000,11781572136,-3.293139307
2001,12358054395,4.893084321
2002,13293180622,7.566937295
2003,12855604738,-3.291732027
2004,12602338078,-1.970087484
2005,11599968588,-7.953837485
2006,11827880024,1.964759079
2007,11967739742,1.182458037
2008,11485335238,-4.030873953
2009,11960816546,4.139899255
2010,11225682154,-6.14618901
2011,10829846948,-3.526157258
2012,11693293203,7.972838944
2013,11298081898,-3.379811813
2014,10683163939,-5.442675709
2015,11286903046,5.651313697
2016,11250646490,-0.321226787
