Year,Growth
1961,2.3
1962,6.1
1963,4.4
1964,5.8
1965,6.4
1966,6.5
1967,2.5
1968,4.8
1969,3.1
1970,3.206807257
1971,3.295476728
1972,5.263262776
1973,5.643124848
1974,-0.517154562
1975,-0.197678537
1976,5.386090051
1977,4.608597407
1978,5.561684929
1979,3.17569075
1980,-0.244596225
1981,2.594470388
1982,-1.910891068
1983,4.632457181
1984,7.259086959
1985,4.238737521
1986,3.511614499
1987,3.461747692
1988,4.203971979
1989,3.680524033
1990,1.919370297
1991,-0.074084531
1992,3.555396148
1993,2.745856719
1994,4.037643425
1995,2.718975789
1996,3.795881229
1997,4.487026493
1998,4.449910963
1999,4.685199608
2000,4.092176449
2001,0.975981834
2002,1.786127687
2003,2.806775956
2004,3.78574285
2005,3.345216063
2006,2.666625826
2007,1.77857024
2008,-0.291621459
2009,-2.775529574
2010,2.531920616
2011,1.601454672
2012,2.224030854
2013,1.67733153
2014,2.370457671
2015,2.596148041
